Country code,TWUK content template label,GOVUK FTA URL,EU has agreement,UK has agreement,Mendel agreement label
CO,ANDEAN_COUNTRIES,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,Y,Y,ANDEAN-COUNTRIES
EC,ANDEAN_COUNTRIES_RATIFIED,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,Y,Y,ANDEAN-COUNTRIES
PE,ANDEAN_COUNTRIES,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,Y,Y,ANDEAN-COUNTRIES
AG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
BB,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
BZ,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
DM,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
DO,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
GD,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
GY,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
JM,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
KN,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
LC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
VC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
BS,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
TT,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,Y,Y,CARIFORUM
CR,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
SV,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
GT,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
HN,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
NI,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
PA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,Y,Y,CENTRAL-AMERICA
CL,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-chile-association-agreement,Y,Y,CHILE
MG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,Y,Y,ESA
MU,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,Y,Y,ESA
SC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,Y,Y,ESA
ZW,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,Y,Y,ESA
CI,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-cote-divoire-stepping-stone-economic-partnership-agreement,Y,Y,EU-AGR-SIGNED-NO-LINK
UA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-ukraine-political-free-trade-and-strategic-partnership-agreement,Y,Y,EU-AGR-SIGNED-NO-LINK
AT,EU_MEMBER,,Y,,EU-MEMBER
BE,EU_MEMBER,,Y,,EU-MEMBER
BG,EU_MEMBER,,Y,,EU-MEMBER
HR,EU_MEMBER,,Y,,EU-MEMBER
CY,EU_MEMBER,,Y,,EU-MEMBER
CZ,EU_MEMBER,,Y,,EU-MEMBER
DK,EU_MEMBER,,Y,,EU-MEMBER
EE,EU_MEMBER,,Y,,EU-MEMBER
FI,EU_MEMBER,,Y,,EU-MEMBER
FR,EU_MEMBER,,Y,,EU-MEMBER
DE,EU_MEMBER,,Y,,EU-MEMBER
GR,EU_MEMBER,,Y,,EU-MEMBER
HU,EU_MEMBER,,Y,,EU-MEMBER
IE,EU_MEMBER,,Y,,EU-MEMBER
IT,EU_MEMBER,,Y,,EU-MEMBER
LV,EU_MEMBER,,Y,,EU-MEMBER
LT,EU_MEMBER,,Y,,EU-MEMBER
LU,EU_MEMBER,,Y,,EU-MEMBER
MT,EU_MEMBER,,Y,,EU-MEMBER
NL,EU_MEMBER,,Y,,EU-MEMBER
PL,EU_MEMBER,,Y,,EU-MEMBER
PT,EU_MEMBER,,Y,,EU-MEMBER
RO,EU_MEMBER,,Y,,EU-MEMBER
SK,EU_MEMBER,,Y,,EU-MEMBER
SI,EU_MEMBER,,Y,,EU-MEMBER
ES,EU_MEMBER,,Y,,EU-MEMBER
SE,EU_MEMBER,,Y,,EU-MEMBER
DZ,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-NON-WTO
AD,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-NON-WTO
BA,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-NON-WTO
SZ,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,EU-NOAGR-FOR-EXIT-NON-WTO
MK,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-north-macedonia-partnership-trade-andcooperationagreement,Y,Y,EU-NOAGR-FOR-EXIT-NON-WTO
SM,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-NON-WTO
XS,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-NON-WTO
AL,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
CM,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
CA,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
EG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-egypt-associationagreement,Y,Y,EU-NOAGR-FOR-EXIT-WTO
GH,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
KE,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-kenya-economic-partnership-agreement,Y,Y,EU-NOAGR-FOR-EXIT-WTO
MX,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
MD,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
ME,EU_NOAGR_FOR_EXIT,,Y,,EU-NOAGR-FOR-EXIT-WTO
SG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-singapore-trade-agreement,Y,Y,EU-NOAGR-FOR-EXIT-WTO
FO,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-faroe-islands-free-trade-agreement-fta,Y,Y,FAROE-ISLANDS
GE,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/publications/ukgeorgia-strategic-partnership-and-cooperation-agreement-cs-georgia-no12019,Y,Y,GEORGIA
IS,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/agreement-on-trade-in-goods-between-iceland-norway-and-the-uk,Y,Y,ICELAND-NORWAY
NO,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/agreement-on-trade-in-goods-between-iceland-norway-and-the-uk,Y,Y,ICELAND-NORWAY
IL,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-israel-trade-and-partnership-agreement,Y,Y,ISRAEL
JP,JP,,Y,Y,JAPAN
JO,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-jordan-association-agreement,Y,Y,JORDAN
XK,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-kosovopartnership-trade-and-cooperationagreement,Y,Y,KOSOVO
LB,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-lebanon-association-agreement,Y,Y,LEBANON
LI,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-switzerland-liechtenstein-trade-agreement,Y,Y,LIECHTENSTEIN
MA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-morocco-association-agreement,Y,Y,MOROCCO
FJ,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-pacific-economic-partnership-agreement,Y,Y,PACIFIC-STATES
PG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-pacific-economic-partnership-agreement,Y,Y,PACIFIC-STATES
PS,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-palestinian-authority-political-trade-and-partnership-agreement,Y,Y,PALESTINIAN-AUTHORITY
BW,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,SACUM
LS,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,SACUM
MZ,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,SACUM
NA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,SACUM
ZA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,Y,Y,SACUM
KR,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-south-korea-trade-agreement,Y,Y,SOUTH-KOREA
CH,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-switzerland-trade-agreement,Y,Y,SWITZERLAND
TN,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-tunisia-association-agreement,Y,Y,TUNISIA
TR,EU_NOAGR_FOR_EXIT,,Y,,TURKEY
VN,EU_AGR_SIGNED_NO_LINK,,Y,Y,VN
AF,WTO,,,,WTO
AO,WTO,,,,WTO
AR,WTO,,,,WTO
AM,WTO,,,,WTO
AU,AUSTRALIA,,,,WTO
BH,WTO,,,,WTO
BD,WTO,,,,WTO
BJ,WTO,,,,WTO
BO,WTO,,,,WTO
BR,WTO,,,,WTO
BN,WTO,,,,WTO
BF,WTO,,,,WTO
BI,WTO,,,,WTO
KH,WTO,,,,WTO
CV,WTO,,,,WTO
CF,WTO,,,,WTO
TD,WTO,,,,WTO
CN,WTO,,,,WTO
CG,WTO,,,,WTO
CD,WTO,,,,WTO
CU,WTO,,,,WTO
DJ,WTO,,,,WTO
GA,WTO,,,,WTO
GN,WTO,,,,WTO
GW,WTO,,,,WTO
HT,WTO,,,,WTO
IN,WTO,,,,WTO
KZ,WTO,,,,WTO
KW,WTO,,,,WTO
KG,WTO,,,,WTO
LA,WTO,,,,WTO
LR,WTO,,,,WTO
MW,WTO,,,,WTO
MY,WTO,,,,WTO
MV,WTO,,,,WTO
ML,WTO,,,,WTO
MR,WTO,,,,WTO
MN,WTO,,,,WTO
MM,WTO,,,,WTO
NP,WTO,,,,WTO
NZ,NEW_ZEALAND,,,,WTO
NE,WTO,,,,WTO
NG,WTO,,,,WTO
OM,WTO,,,,WTO
PK,WTO,,,,WTO
PY,WTO,,,,WTO
PH,WTO,,,,WTO
QA,WTO,,,,WTO
RU,WTO,,,,WTO
RW,WTO,,,,WTO
WS,WTO,,,,WTO
SA,WTO,,,,WTO
SN,WTO,,,,WTO
SL,WTO,,,,WTO
SB,WTO,,,,WTO
LK,WTO,,,,WTO
TJ,WTO,,,,WTO
TZ,WTO,,,,WTO
TH,WTO,,,,WTO
GM,WTO,,,,WTO
TG,WTO,,,,WTO
UG,WTO,,,,WTO
AE,WTO,,,,WTO
US,US,,,,WTO
UY,WTO,,,,WTO
VU,WTO,,,,WTO
VE,WTO,,,,WTO
YE,WTO,,,,WTO
ZM,WTO,,,,WTO
HK,WTO,,,,WTO
SR,WTO,,,,WTO
